tf,motif,percentile,fold,metric,value
IRF4,shape_and_jaspar,,0,aupr,0.37960416252030055
IRF4,shape_and_jaspar,,1,aupr,0.3658143871490059
IRF4,shape_and_jaspar,,2,aupr,0.3680532367338466
IRF4,shape_and_jaspar,,3,aupr,0.31159141234609933
IRF4,shape_and_jaspar,,4,aupr,0.39972465004812985
IRF4,shape_and_seq_no_lasso,,main,aupr,0.7403278415231064
IRF4,shape_and_seq_no_lasso,,0,aupr,0.7287821215152113
IRF4,shape_and_seq_no_lasso,,1,aupr,0.7355265549431016
IRF4,shape_and_seq_no_lasso,,2,aupr,0.622578145630778
IRF4,shape_and_seq_no_lasso,,3,aupr,0.6755840588152342
IRF4,shape_and_seq_no_lasso,,4,aupr,0.767874889901399
JUND,seq,,main,aupr,0.882543297141409
JUND,seq,,0,aupr,0.866825835981942
JUND,seq,,1,aupr,0.802929254769981
JUND,seq,,2,aupr,0.8187926777267748
JUND,seq,,3,aupr,0.7944593475161282
JUND,seq,,4,aupr,0.8321702070211285
JUND,shape,,main,aupr,0.875892810399305
JUND,shape,,0,aupr,0.7563308944669331
JUND,shape,,1,aupr,0.8077908674803836
JUND,shape,,2,aupr,0.8440698584202682
JUND,shape,,3,aupr,0.8761100855033036
JUND,shape,,4,aupr,0.7665528350515464
JUND,shape_and_seq,,main,aupr,0.9360055308709182
JUND,shape_and_seq,,0,aupr,0.9221420888297129
JUND,shape_and_seq,,1,aupr,0.9317730121044624
JUND,shape_and_seq,,2,aupr,0.9283820488848571
JUND,shape_and_seq,,3,aupr,0.9190391996400701
JUND,shape_and_seq,,4,aupr,0.9320793793153909
JUND,jaspar,,main,aupr,0.597077343011096
JUND,jaspar,,0,aupr,0.6099154201294602
JUND,jaspar,,1,aupr,0.613429474825044
JUND,jaspar,,2,aupr,0.6223803741160464
JUND,jaspar,,3,aupr,0.5907048885254955
JUND,jaspar,,4,aupr,0.5459394654804266
JUND,shape_and_jaspar,,main,aupr,0.8817296448292543
JUND,shape_and_jaspar,,0,aupr,0.8161130555094652
JUND,shape_and_jaspar,,1,aupr,0.8034735928646468
JUND,shape_and_jaspar,,2,aupr,0.8708328941995839
JUND,shape_and_jaspar,,3,aupr,0.8841004279148011
JUND,shape_and_jaspar,,4,aupr,0.8750789149025738
JUND,shape_and_seq_no_lasso,,main,aupr,0.9341748405050735
JUND,shape_and_seq_no_lasso,,0,aupr,0.92992863931176
JUND,shape_and_seq_no_lasso,,1,aupr,0.9199927797583637
JUND,shape_and_seq_no_lasso,,2,aupr,0.9203730337274016
JUND,shape_and_seq_no_lasso,,3,aupr,0.9136963239320823
JUND,shape_and_seq_no_lasso,,4,aupr,0.8834599764932375
MAX,seq,,main,aupr,0.5742672479256438
MAX,seq,,0,aupr,0.7041558357854425
MAX,seq,,1,aupr,0.5835902415945998
MAX,seq,,2,aupr,0.618672399824397
MAX,seq,,3,aupr,0.4541471833007742
MAX,seq,,4,aupr,0.7504737310521734
MAX,shape,,main,aupr,0.8516316141890246
MAX,shape,,0,aupr,0.8119289174105955
MAX,shape,,1,aupr,0.8104642648379357
MAX,shape,,2,aupr,0.8548736779853073
MAX,shape,,3,aupr,0.8495094949100243
MAX,shape,,4,aupr,0.8007803366190498
MAX,shape_and_seq,,main,aupr,0.8601475796971524
MAX,shape_and_seq,,0,aupr,0.8686834452786009
MAX,shape_and_seq,,1,aupr,0.8341009763897428
MAX,shape_and_seq,,2,aupr,0.7991025018415203
MAX,shape_and_seq,,3,aupr,0.8486889007951421
MAX,shape_and_seq,,4,aupr,0.7583252950519793
MAX,jaspar,,main,aupr,0.5303464407252684
MAX,jaspar,,0,aupr,0.5760830973854612
MAX,jaspar,,1,aupr,0.5792290704552906
MAX,jaspar,,2,aupr,0.49257308247522313
MAX,jaspar,,3,aupr,0.5062217406605616
MAX,jaspar,,4,aupr,0.5150727167682443
MAX,shape_and_jaspar,,main,aupr,0.8498083488034214
MAX,shape_and_jaspar,,0,aupr,0.8297550779142577
MAX,shape_and_jaspar,,1,aupr,0.8711197697980962
MAX,shape_and_jaspar,,2,aupr,0.8258126626542086
MAX,shape_and_jaspar,,3,aupr,0.8462925429854244
MAX,shape_and_jaspar,,4,aupr,0.8197050033299049
MAX,shape_and_seq_no_lasso,,main,aupr,0.8500083330565115
MAX,shape_and_seq_no_lasso,,0,aupr,0.8268371308561998
MAX,shape_and_seq_no_lasso,,1,aupr,0.8991370428893849
MAX,shape_and_seq_no_lasso,,2,aupr,0.8865540068767876
MAX,shape_and_seq_no_lasso,,3,aupr,0.8345130936627695
MAX,shape_and_seq_no_lasso,,4,aupr,0.8522592033429562
MEF2A,seq,,main,aupr,0.5975589715868052
MEF2A,seq,,0,aupr,0.5569257624101093
MEF2A,seq,,1,aupr,0.5887202504007594
MEF2A,seq,,2,aupr,0.6488999573564088
MEF2A,seq,,3,aupr,0.6105210401139556
MEF2A,seq,,4,aupr,0.6527792550202683
MEF2A,shape,,main,aupr,0.6828792768999248
MEF2A,shape,,0,aupr,0.6271614583333333
MEF2A,shape,,1,aupr,0.6494852941176472
MEF2A,shape,,2,aupr,0.7284687500000001
MEF2A,shape,,3,aupr,0.6313475306838107
MEF2A,shape,,4,aupr,0.6712499999999999
MEF2A,shape_and_seq,,main,aupr,0.690725328489749
MEF2A,shape_and_seq,,0,aupr,0.7378651265260892
MEF2A,shape_and_seq,,1,aupr,0.7094595685713051
MEF2A,shape_and_seq,,2,aupr,0.6895421219525593
MEF2A,shape_and_seq,,3,aupr,0.6792769289295005
MEF2A,shape_and_seq,,4,aupr,0.7032483762565923
MEF2A,jaspar,,main,aupr,0.46952077721345664
MEF2A,jaspar,,0,aupr,0.5106406905456371
MEF2A,jaspar,,1,aupr,0.4644979552596499
MEF2A,jaspar,,2,aupr,0.4838574197340796
MEF2A,jaspar,,3,aupr,0.4051545268722506
MEF2A,jaspar,,4,aupr,0.46382147854146805
MEF2A,shape_and_jaspar,,main,aupr,0.5925614715257483
MEF2A,shape_and_jaspar,,0,aupr,0.5751490137054956
MEF2A,shape_and_jaspar,,1,aupr,0.5804541988258598
MEF2A,shape_and_jaspar,,2,aupr,0.48865722335112144
MEF2A,shape_and_jaspar,,3,aupr,0.629900644758533
MEF2A,shape_and_jaspar,,4,aupr,0.5990088577503107
MEF2A,shape_and_seq_no_lasso,,main,aupr,0.6915738533610356
MEF2A,shape_and_seq_no_lasso,,0,aupr,0.6892647723761189
MEF2A,shape_and_seq_no_lasso,,1,aupr,0.6938995348056459
MEF2A,shape_and_seq_no_lasso,,2,aupr,0.6651762222473748
MEF2A,shape_and_seq_no_lasso,,3,aupr,0.6458214786395683
MEF2A,shape_and_seq_no_lasso,,4,aupr,0.5780141537143012
MEF2C,seq,,main,aupr,0.5956071887486478
MEF2C,seq,,0,aupr,0.5465946010917403
MEF2C,seq,,1,aupr,0.6215838940731336
MEF2C,seq,,2,aupr,0.6204068075964683
MEF2C,seq,,3,aupr,0.5652036522922983
MEF2C,seq,,4,aupr,0.5698709431005531
MEF2C,shape,,main,aupr,0.6218464934953045
MEF2C,shape,,0,aupr,0.5862599681020734
MEF2C,shape,,1,aupr,0.6064729921819474
MEF2C,shape,,2,aupr,0.5527341137123746
MEF2C,shape,,3,aupr,0.5612894518272425
MEF2C,shape,,4,aupr,0.471768018018018
MEF2C,shape_and_seq,,main,aupr,0.6423241437721405
MEF2C,shape_and_seq,,0,aupr,0.6375257168512624
MEF2C,shape_and_seq,,1,aupr,0.6606389488924852
MEF2C,shape_and_seq,,2,aupr,0.6485247365854662
MEF2C,shape_and_seq,,3,aupr,0.6399722350130396
MEF2C,shape_and_seq,,4,aupr,0.5897082899791077
MEF2C,jaspar,,main,aupr,0.46533922851535237
MEF2C,jaspar,,0,aupr,0.4577814044819351
MEF2C,jaspar,,1,aupr,0.455076784667321
MEF2C,jaspar,,2,aupr,0.45870333351991
MEF2C,jaspar,,3,aupr,0.48224483279312036
MEF2C,jaspar,,4,aupr,0.5004920551203347
MEF2C,shape_and_jaspar,,main,aupr,0.5824264806009387
MEF2C,shape_and_jaspar,,0,aupr,0.5337022952686032
MEF2C,shape_and_jaspar,,1,aupr,0.5252558218892286
